longitude,latitude,lon_min,lat_min,lon_max,lat_max,result,focused
7.364533609634654,9.332424999017274,7.364025302477193,9.332018546241487,7.365041917513558,9.332831451124216,2,0
7.365539624744227,9.332424999017274,7.365031316862778,9.332018546241487,7.3660479333471205,9.332831451124216,2,0
7.3665456398538005,9.332424999017276,7.366037331248362,9.332018546241487,7.367053949180684,9.332831451124216,2,0
7.367551654963375,9.332424999017276,7.367043345633946,9.332018546241487,7.368059965014247,9.332831451124216,2,0
7.3685576700729465,9.332424999017274,7.368049360019532,9.332018546241487,7.369065980847809,9.332831451124216,2,0
7.369563685182521,9.332424999017274,7.369055374405115,9.332018546241487,7.370071996681372,9.332831451124216,2,0
7.370569700292094,9.332424999017274,7.3700613887907,9.332018546241487,7.3710780125149356,9.332831451124216,2,0
7.371575715401668,9.332424999017274,7.3710674031762835,9.332018546241487,7.372084028348498,9.332831451124216,2,0
7.372581730511242,9.332424999017274,7.372073417561868,9.332018546241487,7.373090044182061,9.332831451124216,2,0
7.373587745620817,9.332424999017274,7.373079431947452,9.332018546241487,7.374096060015624,9.332831451124216,2,0
7.374593760730391,9.332424999017274,7.374085446333037,9.332018546241487,7.375102075849186,9.332831451124216,2,0
7.375599775839963,9.332424999017274,7.375091460718622,9.332018546241487,7.37610809168275,9.332831451124216,2,0
7.376605790949537,9.332424999017274,7.376097475104204,9.332018546241487,7.377114107516311,9.332831451124216,2,0
7.37761180605911,9.332424999017274,7.377103489489788,9.332018546241487,7.378120123349874,9.332831451124216,2,0
7.378617821168685,9.332424999017274,7.378109503875374,9.332018546241487,7.379126139183438,9.332831451124216,2,0
7.379623836278258,9.332424999017274,7.379115518260957,9.332018546241487,7.380132155017,9.332831451124216,2,0
7.38062985138783,9.332424999017274,7.380121532646542,9.332018546241487,7.381138170850563,9.332831451124216,2,0
7.3816358664974056,9.332424999017276,7.381127547032126,9.332018546241487,7.382144186684126,9.332831451124216,2,0
7.382641881606977,9.332424999017274,7.38213356141771,9.332018546241487,7.3831502025176885,9.332831451124216,2,0
7.383647896716554,9.332424999017276,7.383139575803294,9.332018546241487,7.384156218351252,9.332831451124216,2,0
7.384653911826127,9.332424999017274,7.384145590188879,9.332018546241487,7.385162234184815,9.332831451124216,2,0
7.385659926935702,9.332424999017274,7.385151604574464,9.332018546241487,7.386168250018377,9.332831451124216,2,0
7.386665942045274,9.332424999017274,7.3861576189600475,9.332018546241487,7.38717426585194,9.332831451124216,2,0
7.387671957154848,9.332424999017276,7.387163633345632,9.332018546241487,7.388180281685504,9.332831451124216,2,0
7.388677972264421,9.332424999017274,7.388169647731216,9.332018546241487,7.389186297519066,9.332831451124216,2,0
7.389683987373994,9.332424999017274,7.3891756621168,9.332018546241487,7.390192313352629,9.332831451124216,2,0
7.39069000248357,9.332424999017274,7.390181676502386,9.332018546241487,7.391198329186192,9.332831451124216,2,0
7.3916960175931425,9.332424999017274,7.3911876908879695,9.332018546241487,7.3922043450197545,9.332831451124216,2,0
7.392702032702716,9.332424999017276,7.392193705273554,9.332018546241487,7.393210360853318,9.332831451124216,2,0
7.39370804781229,9.332424999017274,7.393199719659138,9.332018546241487,7.394216376686881,9.332831451124216,2,0
7.364523010190828,9.331612094497167,7.364014704240262,9.331205642084067,7.365031316862778,9.332018546241487,2,0
7.365529023852489,9.331612094497167,7.365020717178,9.331205642084067,7.366037331248362,9.332018546241487,2,0
7.36653503751415,9.331612094497167,7.3660267301157365,9.331205642084067,7.367043345633946,9.332018546241487,2,0
7.367541051175811,9.331612094497165,7.367032743053475,9.331205642084067,7.368049360019532,9.332018546241487,2,0
7.3685470648374745,9.331612094497167,7.368038755991213,9.331205642084067,7.369055374405115,9.332018546241487,2,0
7.369553078499136,9.331612094497167,7.3690447689289496,9.331205642084067,7.3700613887907,9.332018546241487,2,0
7.370559092160796,9.331612094497167,7.370050781866688,9.331205642084067,7.3710674031762835,9.332018546241487,2,0
7.371565105822456,9.331612094497165,7.371056794804426,9.331205642084067,7.372073417561868,9.332018546241487,2,0
7.3725711194841175,9.331612094497167,7.3720628077421635,9.331205642084067,7.373079431947452,9.332018546241487,2,0
7.373577133145779,9.331612094497165,7.373068820679902,9.331205642084067,7.374085446333037,9.332018546241487,2,0
7.374583146807441,9.331612094497167,7.37407483361764,9.331205642084067,7.375091460718622,9.332018546241487,2,0
7.375589160469103,9.331612094497165,7.3750808465553765,9.331205642084067,7.376097475104204,9.332018546241487,2,0
7.376595174130762,9.331612094497167,7.376086859493115,9.331205642084067,7.377103489489788,9.332018546241487,2,0
7.377601187792424,9.331612094497167,7.377092872430851,9.331205642084067,7.378109503875374,9.332018546241487,2,0
7.378607201454083,9.331612094497167,7.37809888536859,9.331205642084067,7.379115518260957,9.332018546241487,2,0
7.379613215115747,9.331612094497167,7.379104898306327,9.331205642084067,7.380121532646542,9.332018546241487,2,0
7.380619228777409,9.331612094497169,7.380110911244065,9.331205642084067,7.381127547032126,9.332018546241487,2,0
7.381625242439069,9.331612094497165,7.3811169241818035,9.331205642084067,7.38213356141771,9.332018546241487,2,0
7.382631256100729,9.331612094497167,7.38212293711954,9.331205642084067,7.383139575803294,9.332018546241487,2,0
7.38363726976239,9.331612094497165,7.383128950057278,9.331205642084067,7.384145590188879,9.332018546241487,2,0
7.384643283424054,9.331612094497167,7.384134962995017,9.331205642084067,7.385151604574464,9.332018546241487,2,0
7.385649297085713,9.331612094497167,7.385140975932753,9.331205642084067,7.3861576189600475,9.332018546241487,2,0
7.386655310747374,9.331612094497167,7.386146988870491,9.331205642084067,7.387163633345632,9.332018546241487,2,0
7.3876613244090334,9.331612094497167,7.38715300180823,9.331205642084067,7.388169647731216,9.332018546241487,2,0
7.388667338070697,9.331612094497167,7.388159014745967,9.331205642084067,7.3891756621168,9.332018546241487,2,0
7.389673351732359,9.331612094497167,7.389165027683705,9.331205642084067,7.390181676502386,9.332018546241487,2,0
7.39067936539402,9.331612094497167,7.390171040621444,9.331205642084067,7.3911876908879695,9.332018546241487,2,0
7.39168537905568,9.331612094497167,7.39117705355918,9.331205642084067,7.392193705273554,9.332018546241487,2,0
7.392691392717341,9.331612094497167,7.392183066496917,9.331205642084067,7.393199719659138,9.332018546241487,2,0
7.393697406379003,9.331612094497167,7.393189079434655,9.331205642084067,7.394205734044722,9.332018546241487,2,0
7.364512411712937,9.330799190702333,7.364004106969189,9.330392738651883,7.365020717178,9.331205642084067,2,0
7.365518423926817,9.330799190702335,7.365010118459212,9.330392738651883,7.3660267301157365,9.331205642084067,2,0
7.366524436140698,9.330799190702335,7.366016129949235,9.330392738651883,7.367032743053475,9.331205642084067,2,0
7.367530448354577,9.330799190702333,7.367022141439258,9.330392738651883,7.368038755991213,9.331205642084067,2,0
7.36853646056846,9.330799190702333,7.368028152929281,9.330392738651883,7.3690447689289496,9.331205642084067,2,0
7.369542472782339,9.330799190702333,7.369034164419304,9.330392738651883,7.370050781866688,9.331205642084067,2,0
7.3705484849962195,9.330799190702333,7.370040175909327,9.330392738651883,7.371056794804426,9.331205642084067,2,0
7.3715544972100995,9.330799190702333,7.37104618739935,9.330392738651883,7.3720628077421635,9.331205642084067,2,0
7.37256050942398,9.330799190702333,7.372052198889373,9.330392738651883,7.373068820679902,9.331205642084067,2,0
