latitude,longitude,lat_min,lat_max,lon_min,lon_max,result,focused
4.927319713421332,-75.64396262277421,4.926914755335626,4.92772467115879,-75.64449109000518,-75.6434341559121,2,0
4.927319713421332,-75.64296256377564,4.926914755335626,4.92772467115879,-75.64349103063066,-75.64243409728948,2,0
4.927319713421331,-75.64196250477706,4.926914755335626,4.92772467115879,-75.6424909712561,-75.64143403866687,2,0
4.927319713421331,-75.6409624457785,4.926914755335626,4.92772467115879,-75.64149091188156,-75.64043398004426,2,0
4.927319713421331,-75.63996238677991,4.926914755335626,4.92772467115879,-75.64049085250703,-75.63943392142164,2,0
4.927319713421332,-75.63896232778136,4.926914755335626,4.92772467115879,-75.63949079313248,-75.63843386279903,2,0
4.927319713421332,-75.63796226878277,4.926914755335626,4.92772467115879,-75.63849073375796,-75.63743380417641,2,0
4.927319713421332,-75.6369622097842,4.926914755335626,4.92772467115879,-75.63749067438341,-75.6364337455538,2,0
4.927319713421332,-75.6359621507856,4.926914755335626,4.92772467115879,-75.63649061500888,-75.63543368693118,2,0
4.9273197134213325,-75.63496209178702,4.926914755335626,4.92772467115879,-75.63549055563435,-75.63443362830857,2,0
4.927319713421329,-75.63396203278843,4.926914755335626,4.92772467115879,-75.63449049625979,-75.63343356968596,2,0
4.9273197134213325,-75.63296197378988,4.926914755335626,4.92772467115879,-75.63349043688527,-75.63243351106334,2,0
4.927319713421329,-75.63196191479129,4.926914755335626,4.92772467115879,-75.63249037751072,-75.63143345244073,2,0
4.9273197134213325,-75.63096185579272,4.926914755335626,4.92772467115879,-75.6314903181362,-75.63043339381811,2,0
4.927319713421331,-75.62996179679415,4.926914755335626,4.92772467115879,-75.63049025876165,-75.62943333519549,2,0
4.927319713421329,-75.62896173779558,4.926914755335626,4.92772467115879,-75.6294901993871,-75.62843327657288,2,0
4.9273197134213325,-75.62796167879702,4.926914755335626,4.92772467115879,-75.62849014001259,-75.62743321795027,2,0
4.927319713421329,-75.62696161979842,4.926914755335626,4.92772467115879,-75.62749008063804,-75.62643315932766,2,0
4.9273197134213325,-75.62596156079985,4.926914755335626,4.92772467115879,-75.6264900212635,-75.62543310070504,2,0
4.927319713421329,-75.62496150180128,4.926914755335626,4.92772467115879,-75.62548996188897,-75.62443304208243,2,0
4.9273197134213325,-75.62396144280272,4.926914755335626,4.92772467115879,-75.62448990251444,-75.62343298345981,2,0
4.9273197134213325,-75.62296138380412,4.926914755335626,4.92772467115879,-75.6234898431399,-75.62243292483718,2,0
4.927319713421332,-75.62196132480554,4.926914755335626,4.92772467115879,-75.62248978376535,-75.62143286621459,2,0
4.927319713421329,-75.62096126580695,4.926914755335626,4.92772467115879,-75.62148972439083,-75.62043280759197,2,0
4.927319713421332,-75.61996120680843,4.926914755335626,4.92772467115879,-75.62048966501628,-75.61943274896937,2,0
4.927319713421329,-75.61896114780983,4.926914755335626,4.92772467115879,-75.61948960564175,-75.61843269034675,2,0
4.9273197134213325,-75.61796108881124,4.926914755335626,4.92772467115879,-75.61848954626721,-75.61743263172413,2,0
4.927319713421332,-75.61696102981266,4.926914755335626,4.92772467115879,-75.61748948689267,-75.61643257310152,2,0
