result,focused,latitude,longitude,lon_min,lat_min,lon_max,lat_max
1,0,1.245135744980466,-77.3185573114314,-77.31906359001927,1.2447313243923892,-77.31805103293755,1.2455401654809781
1,0,1.2451357449804634,-77.31755938866073,-77.31806566715413,1.2447313243923892,-77.31705311026131,1.2455401654809781
2,0,1.2451357449804636,-77.31656146589006,-77.31706774428902,1.2447313243923892,-77.31605518758505,1.2455401654809781
2,0,1.2451357449804634,-77.31556354311934,-77.31606982142388,1.2447313243923892,-77.31505726490882,1.2455401654809781
2,0,1.2451357449804648,-77.31456562034869,-77.31507189855877,1.2447313243923892,-77.31405934223257,1.2455401654809781
0,0,1.2451357449804625,-77.31356769757798,-77.31407397569363,1.2447313243923892,-77.3130614195563,1.2455401654809781
0,0,1.2451357449804648,-77.31256977480729,-77.3130760528285,1.2447313243923892,-77.31206349688007,1.2455401654809781
0,0,1.2451357449804625,-77.31157185203661,-77.31207812996338,1.2447313243923892,-77.31106557420382,1.2455401654809781
0,0,1.2451357449804648,-77.31057392926591,-77.31108020709826,1.2447313243923892,-77.31006765152758,1.2455401654809781
0,0,1.2451357449804636,-77.30957600649525,-77.31008228423313,1.2447313243923892,-77.30906972885133,1.2455401654809781
1,0,1.2451357449804648,-77.30857808372457,-77.309084361368,1.2447313243923892,-77.30807180617509,1.2455401654809781
1,0,1.2451357449804636,-77.30758016095386,-77.30808643850288,1.2447313243923892,-77.30707388349883,1.2455401654809781
1,0,1.2451357449804634,-77.30658223818317,-77.30708851563774,1.2447313243923892,-77.30607596082258,1.2455401654809781
1,0,1.2451357449804648,-77.30558431541249,-77.30609059277262,1.2447313243923892,-77.30507803814635,1.2455401654809781
0,0,1.2451357449804636,-77.30458639264182,-77.3050926699075,1.2447313243923892,-77.30408011547009,1.2455401654809781
0,0,1.2451357449804634,-77.3035884698711,-77.30409474704237,1.2447313243923892,-77.30308219279385,1.2455401654809781
1,0,1.2451357449804648,-77.30259054710044,-77.30309682417725,1.2447313243923892,-77.3020842701176,1.2455401654809781
1,0,1.2451357449804625,-77.30159262432974,-77.3020989013121,1.2447313243923892,-77.30108634744136,1.2455401654809781
1,0,1.2451357449804645,-77.30059470155906,-77.301100978447,1.2447313243923892,-77.30008842476511,1.2455401654809781
1,0,1.2451357449804648,-77.29959677878836,-77.30010305558186,1.2447313243923892,-77.29909050208886,1.2455401654809781
1,0,1.2451357449804625,-77.29859885601769,-77.29910513271673,1.2447313243923892,-77.29809257941261,1.2455401654809781
0,0,1.2451357449804636,-77.29760093324701,-77.29810720985161,1.2447313243923892,-77.29709465673636,1.2455401654809781
0,0,1.2451357449804659,-77.29660301047629,-77.29710928698648,1.2447313243923892,-77.29609673406013,1.2455401654809781
0,0,1.2451357449804612,-77.29560508770562,-77.29611136412136,1.2447313243923892,-77.29509881138387,1.2455401654809781
2,0,1.2451357449804648,-77.29460716493493,-77.29511344125623,1.2447313243923892,-77.29410088870762,1.2455401654809781
2,0,1.2451357449804648,-77.29360924216425,-77.2941155183911,1.2447313243923892,-77.29310296603138,1.2455401654809781
2,0,1.2451357449804634,-77.29261131939354,-77.29311759552597,1.2447313243923892,-77.29210504335512,1.2455401654809781
0,0,1.2451357449804634,-77.29161339662286,-77.29211967266085,1.2447313243923892,-77.29110712067889,1.2455401654809781
0,0,1.2451357449804648,-77.29061547385218,-77.29112174979572,1.2447313243923892,-77.29010919800264,1.2455401654809781
0,0,1.2451357449804634,-77.2896175510815,-77.2901238269306,1.2447313243923892,-77.28911127532639,1.2455401654809781
0,0,1.2451357449804636,-77.28861962831083,-77.28912590406547,1.2447313243923892,-77.28811335265014,1.2455401654809781
0,0,1.2451357449804648,-77.28762170554013,-77.28812798120035,1.2447313243923892,-77.2871154299739,1.2455401654809781
1,0,1.2451357449804625,-77.28662378276941,-77.28713005833521,1.2447313243923892,-77.28611750729765,1.2455401654809781
1,0,1.2451357449804636,-77.28562585999877,-77.28613213547008,1.2447313243923892,-77.2851195846214,1.2455401654809781
1,0,1.2451357449804634,-77.28462793722807,-77.28513421260496,1.2447313243923892,-77.28412166194515,1.2455401654809781
2,0,1.2451357449804636,-77.28363001445739,-77.28413628973983,1.2447313243923892,-77.2831237392689,1.2455401654809781
2,0,1.245135744980466,-77.2826320916867,-77.28313836687471,1.2447313243923892,-77.28212581659265,1.2455401654809781
2,0,1.2451357449804625,-77.28163416891599,-77.28214044400957,1.2447313243923892,-77.2811278939164,1.2455401654809781
0,0,1.2451357449804648,-77.2806362461453,-77.28114252114446,1.2447313243923892,-77.28012997124016,1.2455401654809781
2,0,1.2451357449804625,-77.27963832337463,-77.28014459827932,1.2447313243923892,-77.27913204856392,1.2455401654809781
0,0,1.2451357449804645,-77.27864040060393,-77.27914667541421,1.2447313243923892,-77.27813412588766,1.2455401654809781
0,0,1.2451357449804648,-77.27764247783325,-77.27814875254907,1.2447313243923892,-77.27713620321143,1.2455401654809781
0,0,1.2451357449804625,-77.27664455506257,-77.27715082968395,1.2447313243923892,-77.27613828053518,1.2455401654809781
0,0,1.2451357449804645,-77.27564663229187,-77.27615290681882,1.2447313243923892,-77.27514035785892,1.2455401654809781
0,0,1.2451357449804634,-77.27464870952117,-77.27515498395368,1.2447313243923892,-77.27414243518268,1.2455401654809781
0,0,1.2451357449804636,-77.2736507867505,-77.27415706108857,1.2447313243923892,-77.27314451250643,1.2455401654809781
