latitude,longitude,lat_min,lat_max,lon_min,lon_max,result,focused
1.2451357449804648,-77.31855731143139,1.2447313243923892,1.2455401654809781,-77.31906359001927,-77.31805103293755,2,0
1.2451357449804634,-77.31755938866073,1.2447313243923892,1.2455401654809781,-77.31806566715413,-77.31705311026131,2,0
1.2451357449804636,-77.31656146589006,1.2447313243923892,1.2455401654809781,-77.31706774428902,-77.31605518758505,2,0
1.2451357449804634,-77.31556354311934,1.2447313243923892,1.2455401654809781,-77.31606982142388,-77.31505726490882,2,0
1.2451357449804648,-77.31456562034869,1.2447313243923892,1.2455401654809781,-77.31507189855877,-77.31405934223257,2,0
1.2451357449804625,-77.31356769757798,1.2447313243923892,1.2455401654809781,-77.31407397569363,-77.3130614195563,2,0
1.2451357449804648,-77.31256977480729,1.2447313243923892,1.2455401654809781,-77.3130760528285,-77.31206349688007,2,0
1.2451357449804636,-77.31157185203662,1.2447313243923892,1.2455401654809781,-77.31207812996338,-77.31106557420382,2,0
1.2451357449804634,-77.31057392926591,1.2447313243923892,1.2455401654809781,-77.31108020709826,-77.31006765152758,2,0
1.2451357449804636,-77.30957600649525,1.2447313243923892,1.2455401654809781,-77.31008228423313,-77.30906972885133,2,0
1.2451357449804634,-77.30857808372454,1.2447313243923892,1.2455401654809781,-77.309084361368,-77.30807180617509,2,0
1.2451357449804645,-77.30758016095385,1.2447313243923892,1.2455401654809781,-77.30808643850288,-77.30707388349883,2,0
1.2451357449804634,-77.30658223818317,1.2447313243923892,1.2455401654809781,-77.30708851563774,-77.30607596082258,2,0
1.2451357449804648,-77.30558431541249,1.2447313243923892,1.2455401654809781,-77.30609059277262,-77.30507803814635,2,0
1.2451357449804636,-77.30458639264182,1.2447313243923892,1.2455401654809781,-77.3050926699075,-77.30408011547009,2,1
1.2451357449804648,-77.3035884698711,1.2447313243923892,1.2455401654809781,-77.30409474704237,-77.30308219279385,2,1
1.2451357449804625,-77.30259054710041,1.2447313243923892,1.2455401654809781,-77.30309682417725,-77.3020842701176,2,1
1.2451357449804634,-77.30159262432974,1.2447313243923892,1.2455401654809781,-77.3020989013121,-77.30108634744136,2,1
1.2451357449804645,-77.30059470155906,1.2447313243923892,1.2455401654809781,-77.301100978447,-77.30008842476511,2,1
1.2451357449804636,-77.29959677878837,1.2447313243923892,1.2455401654809781,-77.30010305558186,-77.29909050208886,2,1
1.2451357449804634,-77.29859885601769,1.2447313243923892,1.2455401654809781,-77.29910513271673,-77.29809257941261,2,1
1.2451357449804636,-77.29760093324701,1.2447313243923892,1.2455401654809781,-77.29810720985161,-77.29709465673636,2,1
1.2451357449804648,-77.2966030104763,1.2447313243923892,1.2455401654809781,-77.29710928698648,-77.29609673406013,2,1
1.2451357449804625,-77.29560508770561,1.2447313243923892,1.2455401654809781,-77.29611136412136,-77.29509881138387,2,1
1.2451357449804659,-77.29460716493494,1.2447313243923892,1.2455401654809781,-77.29511344125623,-77.29410088870762,2,1
1.2451357449804634,-77.29360924216422,1.2447313243923892,1.2455401654809781,-77.2941155183911,-77.29310296603138,2,1
1.2451357449804634,-77.29261131939354,1.2447313243923892,1.2455401654809781,-77.29311759552597,-77.29210504335512,2,1
1.2451357449804634,-77.29161339662286,1.2447313243923892,1.2455401654809781,-77.29211967266085,-77.29110712067889,2,1
1.2451357449804636,-77.2906154738522,1.2447313243923892,1.2455401654809781,-77.29112174979572,-77.29010919800264,2,1
1.2451357449804645,-77.28961755108149,1.2447313243923892,1.2455401654809781,-77.2901238269306,-77.28911127532639,2,1
1.2451357449804636,-77.28861962831083,1.2447313243923892,1.2455401654809781,-77.28912590406547,-77.28811335265014,2,1
1.2451357449804636,-77.28762170554013,1.2447313243923892,1.2455401654809781,-77.28812798120035,-77.2871154299739,2,1
1.2451357449804634,-77.28662378276942,1.2447313243923892,1.2455401654809781,-77.28713005833521,-77.28611750729765,2,1
1.2451357449804636,-77.28562585999877,1.2447313243923892,1.2455401654809781,-77.28613213547008,-77.2851195846214,2,1
1.2451357449804634,-77.28462793722807,1.2447313243923892,1.2455401654809781,-77.28513421260496,-77.28412166194515,2,1
1.2451357449804636,-77.28363001445739,1.2447313243923892,1.2455401654809781,-77.28413628973983,-77.2831237392689,2,0
1.245135744980466,-77.2826320916867,1.2447313243923892,1.2455401654809781,-77.28313836687471,-77.28212581659265,2,0
1.2451357449804625,-77.28163416891599,1.2447313243923892,1.2455401654809781,-77.28214044400957,-77.2811278939164,2,0
1.2451357449804648,-77.2806362461453,1.2447313243923892,1.2455401654809781,-77.28114252114446,-77.28012997124016,2,0
1.2451357449804634,-77.27963832337463,1.2447313243923892,1.2455401654809781,-77.28014459827932,-77.27913204856392,2,0
1.2451357449804648,-77.27864040060393,1.2447313243923892,1.2455401654809781,-77.27914667541421,-77.27813412588766,2,0
1.2451357449804634,-77.27764247783324,1.2447313243923892,1.2455401654809781,-77.27814875254907,-77.27713620321143,2,0
1.2451357449804625,-77.27664455506257,1.2447313243923892,1.2455401654809781,-77.27715082968395,-77.27613828053518,2,0
1.2451357449804645,-77.27564663229187,1.2447313243923892,1.2455401654809781,-77.27615290681882,-77.27514035785892,2,0
1.2451357449804634,-77.27464870952117,1.2447313243923892,1.2455401654809781,-77.27515498395368,-77.27414243518268,2,0
1.2451357449804636,-77.2736507867505,1.2447313243923892,1.2455401654809781,-77.27415706108857,-77.27314451250643,2,0
1.2451357449804634,-77.27265286397983,1.2447313243923892,1.2455401654809781,-77.27315913822343,-77.27214658983019,2,0
1.2451357449804645,-77.27165494120914,1.2447313243923892,1.2455401654809781,-77.27216121535832,-77.27114866715394,2,0
1.2451357449804634,-77.27065701843841,1.2447313243923892,1.2455401654809781,-77.27116329249318,-77.27015074447769,2,0
