grid_code,origin_lat,origin_lon,destination_name,dest_lat,dest_lon,min_duration,population
43889,11.999583486545456,8.539583314115385,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,443.21,2130.5251
88656,11.999583486545456,8.547916647423076,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,414.82,1442.3727
73757,11.999583486545456,8.556249980730769,Maxcare Clinic,11.96792,8.54314,453.67,1375.4358
33350,11.999583486545456,8.564583314038462,Maxcare Clinic,11.96792,8.54314,439.49,1824.1362
37496,11.999583486545456,8.572916647346153,Maxcare Clinic,11.96792,8.54314,491.24,1776.6611
58302,11.991250153272729,8.472916647653847,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,357.08,6106.532
40731,11.991250153272729,8.481249980961538,Sabo Bakin Zuwo General Hospital,12.00065,8.50923,324.31,6349.6636
18292,11.991250153272729,8.48958331426923,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,224.46,5662.558
39581,11.991250153272729,8.497916647576924,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,237.56,6858.6753
20361,11.991250153272729,8.506249980884615,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,72.58,7438.5264
51182,11.991250153272729,8.514583314192308,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,137.22,8070.4854
77850,11.991250153272729,8.5229166475,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,188.37,7625.1685
41046,11.991250153272729,8.531249980807692,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,208.03,3180.208
40298,11.991250153272729,8.539583314115385,Maxcare Clinic,11.96792,8.54314,337.55,1910.6576
28894,11.991250153272729,8.547916647423076,Maxcare Clinic,11.96792,8.54314,359.0,1547.673
57356,11.991250153272729,8.556249980730769,Maxcare Clinic,11.96792,8.54314,384.37,1442.1566
44941,11.991250153272729,8.564583314038462,Maxcare Clinic,11.96792,8.54314,333.25,1751.6624
95596,11.991250153272729,8.572916647346153,Maxcare Clinic,11.96792,8.54314,461.73,1589.0735
90483,11.98291682,8.472916647653847,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,311.97,5241.6465
45723,11.98291682,8.481249980961538,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,344.26,5759.7754
58281,11.98291682,8.48958331426923,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,296.87,4927.2764
52632,11.98291682,8.497916647576924,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,223.57,4073.5925
94013,11.98291682,8.506249980884615,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,173.59,3575.3867
27012,11.98291682,8.514583314192308,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,151.67,2813.933
35478,11.98291682,8.5229166475,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,209.85,2908.9775
52470,11.98291682,8.531249980807692,Maxcare Clinic,11.96792,8.54314,292.17,1766.5753
71918,11.98291682,8.539583314115385,Maxcare Clinic,11.96792,8.54314,230.31,1924.3248
34972,11.98291682,8.547916647423076,Maxcare Clinic,11.96792,8.54314,295.82,1578.4052
89109,11.98291682,8.556249980730769,Maxcare Clinic,11.96792,8.54314,257.41,1483.2052
55735,11.98291682,8.564583314038462,Maxcare Clinic,11.96792,8.54314,349.46,1549.7125
21863,11.98291682,8.572916647346153,Maxcare Clinic,11.96792,8.54314,328.92,1343.6344
13000,11.974583486727273,8.472916647653847,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,621.29,3286.9832
11656,11.974583486727273,8.481249980961538,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,446.54,2921.4739
65559,11.974583486727273,8.48958331426923,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,281.06,2818.0771
13262,11.974583486727273,8.497916647576924,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,292.3,3316.9292
35141,11.974583486727273,8.506249980884615,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,261.62,2579.7356
33363,11.974583486727273,8.514583314192308,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,293.68,2382.5017
