longitude,latitude,lon_min,lat_min,lon_max,lat_max,result,focused
3.2726012077468827,6.590964361693137,3.2720986230568045,6.590558949260156,3.2731037929418503,6.591369773989765,2,0
3.2725979058815535,6.590153537217343,3.2720953219046223,6.589748125038195,3.273100490363313,6.590558949260156,2,0
3.2725682077918807,6.582856139770192,3.2720656302303177,6.582450729874093,3.273070785857698,6.583261549530108,2,0
3.273606378850649,6.591775186676606,3.2731037929418503,6.591369773989765,3.274108965264401,6.592180599227077,2,0
3.2736030755588357,6.590964361693137,3.273100490363313,6.590558949260156,3.274105661259249,6.591369773989765,2,0
3.2735997726826813,6.590153537217345,3.273097188200368,6.589748125038195,3.274102357669822,6.590558949260156,2,0
3.273596470222181,6.589342713249167,3.273093886453012,6.588937301323817,3.2740990544961135,6.589748125038195,2,0
3.273593168177332,6.5885318897885385,3.2730905851212415,6.588126478116955,3.2740957517381215,6.588937301323817,2,0
3.27357336463669,6.583666959679751,3.273070785857698,6.583261549530108,3.274075943920002,6.584072369693195,2,0
3.273570065501292,6.5828561397701915,3.27306748743492,6.582450729874093,3.2740726440719183,6.583261549530108,2,0
3.2735667667815136,6.582045320367673,3.2730641894276964,6.581639910725088,3.274069344639522,6.582450729874093,2,0
3.2735634684773522,6.581234501472133,3.2730608918360256,6.58082909208303,3.2740660456228077,6.581639910725088,2,0
3.2746049433707904,6.590964361693138,3.274102357669822,6.590558949260156,3.2751075295766476,6.591369773989765,2,0
3.274601639483809,6.590153537217345,3.2740990544961135,6.589748125038195,3.27510422497633,6.590558949260156,2,0
3.2745983360126085,6.5893427132491675,3.2740957517381215,6.588937301323817,3.2751009207918584,6.589748125038195,2,0
3.274595032957188,6.5885318897885385,3.2740924493958423,6.588126478116955,3.275097617023231,6.588937301323817,2,0
3.2745785239166167,6.584477780096415,3.274075943920002,6.584072369693195,3.275081104417613,6.584883190363418,2,0
3.274575223355784,6.583666959679753,3.2740726440719183,6.583261549530108,3.2750778031439673,6.584072369693195,2,0
3.274571923210702,6.5828561397701915,3.274069344639522,6.582450729874093,3.2750745022861385,6.583261549530108,2,0
3.27456862348137,6.5820453203676745,3.2740660456228077,6.581639910725088,3.275071201844124,6.582450729874093,2,0
3.274565324167781,6.581234501472133,3.2740627470217722,6.58082909208303,3.2750679018179185,6.581639910725088,2,0
3.2745587267878222,6.579612865201733,3.274056151066724,6.579207456319498,3.2750613030129223,6.580018273947854,2,0
3.274555428721445,6.578802047826745,3.2740528537127025,6.578396639197894,3.275058004234124,6.579207456319498,2,0
3.2745455370166723,6.576369598741867,3.274042964144608,6.575964190872985,3.2750481103924844,6.576775006474704,2,0
3.2756101164964644,6.591775186676606,3.2751075295766476,6.591369773989765,3.2761127039212337,6.592180599227077,2,0
3.2756068111827434,6.590964361693137,3.27510422497633,6.590558949260156,3.276109397894047,6.591369773989765,1,0
3.275603506284935,6.590153537217343,3.2751009207918584,6.589748125038195,3.2761060922828382,6.590558949260156,2,0
3.2756002018030363,6.589342713249166,3.275097617023231,6.588937301323817,3.2761027870876043,6.589748125038195,2,0
3.275596897737042,6.5885318897885385,3.275094313670443,6.588126478116955,3.276099482308341,6.588937301323817,2,0
3.2755935940869496,6.587721066835395,3.275091010733491,6.587315655417547,3.276096177945044,6.588126478116955,2,0
3.2755902908527545,6.586910244389673,3.275087708212371,6.586504833225532,3.276092873997711,6.587315655417547,2,0
3.2755803836455186,6.584477780096415,3.2750778031439673,6.584072369693195,3.2760829646514513,6.584883190363418,2,0
