result,focused,latitude,longitude,lon_min,lat_min,lon_max,lat_max
1,0,-19.705789115529406,34.789195431297756,34.788621889927356,-19.70620293207323,34.789768974266885,-19.705375297473417
1,0,-19.705789115529413,34.79023111684668,34.7896575738181,-19.70620293207323,34.790804661474006,-19.705375297473417
1,0,-19.705789115529406,34.791266802395604,34.79069325770883,-19.70620293207323,34.79184034868112,-19.705375297473417
0,0,-19.705789115529406,34.79230248794453,34.791728941599565,-19.70620293207323,34.792876035888234,-19.705375297473417
0,0,-19.705789115529406,34.79333817349347,34.79276462549031,-19.70620293207323,34.793911723095356,-19.705375297473417
0,0,-19.70578911552941,34.7943738590424,34.79380030938105,-19.70620293207323,34.79494741030248,-19.705375297473417
1,0,-19.705789115529406,34.79540954459132,34.79483599327179,-19.70620293207323,34.79598309750959,-19.705375297473417
1,0,-19.705789115529406,34.79644523014024,34.79587167716253,-19.70620293207323,34.797018784716705,-19.705375297473417
1,0,-19.705789115529406,34.797480915689185,34.796907361053265,-19.70620293207323,34.79805447192382,-19.705375297473417
1,0,-19.70578911552941,34.79851660123811,34.797943044944006,-19.70620293207323,34.799090159130934,-19.705375297473417
1,0,-19.705789115529406,34.79955228678703,34.79897872883475,-19.70620293207323,34.80012584633806,-19.705375297473417
1,0,-19.705789115529406,34.80058797233597,34.80001441272549,-19.70620293207323,34.80116153354518,-19.705375297473417
2,0,-19.705789115529406,34.801623657884896,34.80105009661623,-19.70620293207323,34.80219722075229,-19.705375297473417
1,0,-19.705789115529406,34.80265934343383,34.802085780506964,-19.70620293207323,34.803232907959405,-19.705375297473417
1,0,-19.705789115529406,34.80369502898276,34.803121464397705,-19.70620293207323,34.80426859516652,-19.705375297473417
1,0,-19.705789115529413,34.80473071453169,34.80415714828844,-19.70620293207323,34.80530428237364,-19.705375297473417
2,0,-19.705789115529406,34.80576640008062,34.80519283217917,-19.70620293207323,34.80633996958076,-19.705375297473417
2,0,-19.70578911552941,34.80680208562954,34.80622851606993,-19.70620293207323,34.807375656787876,-19.705375297473417
2,0,-19.705789115529406,34.80783777117846,34.807264199960656,-19.70620293207323,34.80841134399499,-19.705375297473417
2,0,-19.70578911552941,34.8088734567274,34.8082998838514,-19.70620293207323,34.809447031202104,-19.705375297473417
1,0,-19.70578911552941,34.80990914227633,34.80933556774214,-19.70620293207323,34.810482718409226,-19.705375297473417
1,0,-19.705789115529406,34.81094482782526,34.81037125163287,-19.70620293207323,34.81151840561634,-19.705375297473417
1,0,-19.705789115529406,34.81198051337419,34.811406935523614,-19.70620293207323,34.81255409282347,-19.705375297473417
1,0,-19.705789115529406,34.81301619892312,34.812442619414355,-19.70620293207323,34.81358978003058,-19.705375297473417
1,0,-19.705789115529406,34.81405188447204,34.8134783033051,-19.70620293207323,34.8146254672377,-19.705375297473417
1,0,-19.705789115529406,34.81508757002097,34.81451398719583,-19.70620293207323,34.81566115444481,-19.705375297473417
1,0,-19.705789115529406,34.8161232555699,34.81554967108657,-19.70620293207323,34.816696841651925,-19.705375297473417
1,0,-19.705789115529406,34.817158941118834,34.81658535497731,-19.70620293207323,34.81773252885905,-19.705375297473417
1,0,-19.705789115529406,34.81819462666777,34.81762103886805,-19.70620293207323,34.81876821606617,-19.705375297473417
1,0,-19.705789115529406,34.81923031221669,34.818656722758796,-19.70620293207323,34.81980390327328,-19.705375297473417
1,0,-19.705789115529406,34.82026599776562,34.81969240664953,-19.70620293207323,34.8208395904804,-19.705375297473417
1,0,-19.705789115529406,34.82130168331455,34.82072809054027,-19.70620293207323,34.82187527768751,-19.705375297473417
1,0,-19.705789115529406,34.82233736886348,34.821763774431005,-19.70620293207323,34.822910964894625,-19.705375297473417
1,0,-19.705789115529406,34.8233730544124,34.82279945832174,-19.70620293207323,34.823946652101746,-19.705375297473417
2,0,-19.70578911552941,34.824408739961335,34.82383514221248,-19.70620293207323,34.82498233930887,-19.705375297473417
2,0,-19.705789115529406,34.82544442551026,34.82487082610322,-19.70620293207323,34.82601802651598,-19.705375297473417
2,0,-19.705789115529406,34.82648011105918,34.82590650999396,-19.70620293207323,34.827053713723096,-19.705375297473417
2,0,-19.705789115529406,34.82751579660812,34.826942193884705,-19.70620293207323,34.82808940093021,-19.705375297473417
2,0,-19.705789115529406,34.828551482157046,34.82797787777544,-19.70620293207323,34.82912508813733,-19.705375297473417
2,0,-19.70578911552941,34.82958716770598,34.82901356166618,-19.70620293207323,34.830160775344446,-19.705375297473417
1,0,-19.70661675094516,34.78930683292695,34.78873328705977,-19.707030568304827,34.78988038039295,-19.70620293207323
1,0,-19.706616750945148,34.79034252179234,34.789768974266885,-19.707030568304827,34.79091607091661,-19.70620293207323
1,0,-19.70661675094516,34.791378210657726,34.790804661474006,-19.707030568304827,34.791951761440274,-19.70620293207323
0,0,-19.70661675094516,34.792413899523126,34.79184034868112,-19.707030568304827,34.79298745196394,-19.70620293207323
0,0,-19.70661675094516,34.79344958838851,34.792876035888234,-19.707030568304827,34.7940231424876,-19.70620293207323
0,0,-19.706616750945148,34.794485277253905,34.793911723095356,-19.707030568304827,34.79505883301126,-19.70620293207323
1,0,-19.70661675094516,34.7955209661193,34.79494741030248,-19.707030568304827,34.796094523534926,-19.70620293207323
1,0,-19.70661675094516,34.796556654984684,34.79598309750959,-19.707030568304827,34.79713021405859,-19.70620293207323
1,0,-19.706616750945148,34.797592343850084,34.797018784716705,-19.707030568304827,34.798165904582255,-19.70620293207323
1,0,-19.706616750945148,34.798628032715456,34.79805447192382,-19.707030568304827,34.79920159510591,-19.70620293207323
1,0,-19.706616750945148,34.799663721580856,34.799090159130934,-19.707030568304827,34.800237285629585,-19.70620293207323
1,0,-19.70661675094516,34.800699410446256,34.80012584633806,-19.707030568304827,34.80127297615325,-19.70620293207323
1,0,-19.70661675094516,34.80173509931164,34.80116153354518,-19.707030568304827,34.802308666676915,-19.70620293207323
1,0,-19.706616750945148,34.802770788177035,34.80219722075229,-19.707030568304827,34.80334435720057,-19.70620293207323
1,0,-19.70661675094516,34.80380647704242,34.803232907959405,-19.707030568304827,34.80438004772424,-19.70620293207323
1,0,-19.706616750945148,34.804842165907814,34.80426859516652,-19.707030568304827,34.8054157382479,-19.70620293207323
1,0,-19.70661675094516,34.80587785477321,34.80530428237364,-19.707030568304827,34.806451428771574,-19.70620293207323
2,0,-19.70661675094516,34.8069135436386,34.80633996958076,-19.707030568304827,34.80748711929523,-19.70620293207323
2,0,-19.70661675094516,34.807949232503994,34.807375656787876,-19.707030568304827,34.808522809818896,-19.70620293207323
1,0,-19.70661675094516,34.80898492136939,34.80841134399499,-19.707030568304827,34.80955850034256,-19.70620293207323
1,0,-19.70661675094516,34.81002061023478,34.809447031202104,-19.707030568304827,34.810594190866226,-19.70620293207323
1,0,-19.706616750945148,34.81105629910017,34.810482718409226,-19.707030568304827,34.811629881389884,-19.70620293207323
1,0,-19.70661675094516,34.812091987965566,34.81151840561634,-19.707030568304827,34.812665571913556,-19.70620293207323
1,0,-19.706616750945148,34.813127676830966,34.81255409282347,-19.707030568304827,34.81370126243722,-19.70620293207323
1,0,-19.706616750945148,34.814163365696345,34.81358978003058,-19.707030568304827,34.814736952960885,-19.70620293207323
1,0,-19.706616750945148,34.815199054561724,34.8146254672377,-19.707030568304827,34.81577264348454,-19.70620293207323
1,0,-19.70661675094516,34.816234743427124,34.81566115444481,-19.707030568304827,34.81680833400821,-19.70620293207323
1,0,-19.70661675094516,34.81727043229251,34.816696841651925,-19.707030568304827,34.817844024531865,-19.70620293207323
1,0,-19.70661675094516,34.8183061211579,34.81773252885905,-19.707030568304827,34.81887971505554,-19.70620293207323
1,0,-19.70661675094516,34.8193418100233,34.81876821606617,-19.707030568304827,34.819915405579195,-19.70620293207323
1,0,-19.70661675094516,34.82037749888869,34.81980390327328,-19.707030568304827,34.82095109610286,-19.70620293207323
1,0,-19.70661675094516,34.82141318775408,34.8208395904804,-19.707030568304827,34.821986786626525,-19.70620293207323
1,0,-19.706616750945148,34.822448876619475,34.82187527768751,-19.707030568304827,34.82302247715019,-19.70620293207323
1,0,-19.70661675094516,34.823484565484854,34.822910964894625,-19.707030568304827,34.82405816767385,-19.70620293207323
2,0,-19.70661675094516,34.82452025435024,34.823946652101746,-19.707030568304827,34.82509385819752,-19.70620293207323
2,0,-19.70661675094516,34.82555594321564,34.82498233930887,-19.707030568304827,34.826129548721184,-19.70620293207323
2,0,-19.70661675094516,34.82659163208104,34.82601802651598,-19.707030568304827,34.82716523924485,-19.70620293207323
2,0,-19.706616750945148,34.827627320946426,34.827053713723096,-19.707030568304827,34.82820092976851,-19.70620293207323
2,0,-19.706616750945148,34.82866300981182,34.82808940093021,-19.707030568304827,34.82923662029217,-19.70620293207323
2,0,-19.70661675094516,34.82969869867721,34.82912508813733,-19.707030568304827,34.830272310815836,-19.70620293207323
2,0,-19.707444387992712,34.7894182402334,34.788844689869286,-19.707858206168275,34.78999179219642,-19.707030568304827
2,0,-19.70744438799272,34.790453932415424,34.78988038039295,-19.707858206168275,34.791027486036796,-19.707030568304827
1,0,-19.707444387992712,34.79148962459744,34.79091607091661,-19.707858206168275,34.792063179877175,-19.707030568304827
1,0,-19.70744438799272,34.79252531677947,34.791951761440274,-19.707858206168275,34.793098873717554,-19.707030568304827
0,0,-19.70744438799272,34.7935610089615,34.79298745196394,-19.707858206168275,34.79413456755794,-19.707030568304827
0,0,-19.707444387992712,34.79459670114351,34.7940231424876,-19.707858206168275,34.79517026139832,-19.707030568304827
