fid,longitude,latitude,lon_min,lon_max,lat_min,lat_max,result
176877,-0.206640997,5.558363796,-0.207141427,-0.206140568,5.557958681,5.55876891,0
137378,0.00950712,5.621562992,0.009006741,0.010007499,5.62115786,5.621968123,0
126980,-0.288720687,5.636147794,-0.289221194,-0.288220181,5.635742658,5.636552929,0
100827,0.026521348,5.674230995,0.026020934,0.027021763,5.673825849,5.67463614,0
64818,-0.192666659,5.730142122,-0.193167177,-0.192166142,5.729736961,5.730547283,0
156009,-0.299715475,5.593204055,-0.300215963,-0.299214988,5.592798931,5.593609179,0
148221,-0.227666596,5.60535782,-0.22816706,-0.227166133,5.604952693,5.605762947,0
174996,-0.22765611,5.561604717,-0.22815655,-0.22715567,5.561199601,5.562009832,0
180483,-0.200635538,5.551881974,-0.201135962,-0.200135116,5.551476861,5.552287087,0
116852,-0.148615901,5.650732736,-0.149116356,-0.148115447,5.650327597,5.651137875,0
171191,-0.262681913,5.568086579,-0.263182371,-0.262181455,5.567681461,5.568491696,0
98049,-0.051541711,5.678282456,-0.052042139,-0.051041284,5.677877309,5.678687602,0
84016,-0.17464528,5.699350229,-0.175145773,-0.174144788,5.698945076,5.699755381,0
138727,-0.291717715,5.619132205,-0.292218214,-0.291217216,5.618727074,5.619537336,0
149023,-0.505869306,5.603737313,-0.506369888,-0.505368725,5.603332186,5.604142439,0
120593,-0.397807838,5.645060798,-0.398308397,-0.397307279,5.64465566,5.645465935,0
126410,-0.288720936,5.636958065,-0.289221443,-0.288220429,5.636552929,5.6373632,0
132627,-0.291720472,5.628045109,-0.292220976,-0.291219968,5.627639975,5.628450242,0
120999,0.008506583,5.645060798,0.008006192,0.009006974,5.64465566,5.645465935,0
171797,-0.136594479,5.567276345,-0.137094883,-0.136094075,5.566871227,5.567681461,0
133330,-0.148612188,5.627234843,-0.14911263,-0.148111747,5.626829709,5.627639975,0
166212,-0.52686935,5.576188946,-0.527369926,-0.526368775,5.575783826,5.576594065,0
172167,-0.236663492,5.566466111,-0.237163939,-0.236163046,5.566060994,5.566871227,0
121004,0.013510455,5.645060798,0.013010062,0.014010848,5.64465566,5.645465935,0
179140,-0.193631299,5.554312654,-0.194131721,-0.193130878,5.55390754,5.554717767,0
93275,0.04453639,5.685575113,0.044035962,0.045036818,5.685169964,5.685980262,0
132626,-0.292721228,5.628045109,-0.293221732,-0.292220724,5.627639975,5.628450242,0
127708,-0.130599713,5.635337523,-0.131100152,-0.130099275,5.634932388,5.635742658,0
65255,-0.255720978,5.729331801,-0.256221523,-0.255220434,5.728926641,5.729736961,0
132210,-0.148612444,5.628855375,-0.149112886,-0.148112001,5.628450242,5.629260509,0
132376,0.017513251,5.628855375,0.017012865,0.018013637,5.628450242,5.629260509,0
102985,-0.005504412,5.670989834,-0.006004815,-0.005004008,5.670584689,5.671394979,0
106850,0.009507563,5.665317819,0.009007161,0.010007965,5.664912676,5.665722962,0
181356,-0.197633175,5.550261523,-0.198133596,-0.197132755,5.54985641,5.550666635,0
108847,-0.23368507,5.662076678,-0.234185567,-0.233184572,5.661671535,5.66248182,0
